Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133104-63759,RB,Tony,Tony Pollard,Pollard,10.488235473632812,17,6000,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX
133104-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6000,BAL@IND,IND,BAL,,,,,,QB
133104-90406,QB,Zach,Zach Wilson,Wilson,0.3449999988079071,4,6000,NO@DET,NO,DET,,,,,,QB
133104-120105,QB,Will,Will Howard,Howard,,0,6000,ATL@PIT,PIT,ATL,,,,,,QB
133104-86312,WR,Alec,Alec Pierce,Pierce,11.053333536783855,15,6000,BAL@IND,IND,BAL,NA,Ankle,,,,WR/FLEX
133104-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.17000000178813934,4,6000,ARI@LAC,ARI,LAC,,,,,,QB
133104-151938,QB,Luke,Luke Altmyer,Altmyer,,0,6000,NO@DET,DET,NO,,,,,,QB
133104-103824,QB,Easton,Easton Stick,Stick,,0,6000,BAL@IND,IND,BAL,,,,,,QB
133104-70051,QB,Tyler,Tyler Huntley,Huntley,8.027999877929688,5,6000,BAL@IND,BAL,IND,,,,,,QB
133104-151969,QB,Miller,Miller Moss,Moss,,0,6000,CHI@CAR,CHI,CAR,,,,,,QB
133104-60840,QB,Jake,Jake Browning,Browning,11.34800033569336,5,6000,TB@CIN,TB,CIN,Q,Back,,,,QB
133104-166314,QB,Cade,Cade Klubnik,Klubnik,,0,6000,NYJ@TEN,NYJ,TEN,,,,,,QB
133104-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,TB@CIN,TB,CIN,,,,,,QB
133104-185776,QB,Tyson,Tyson Bagent,Bagent,1.2899999618530273,2,6000,CHI@CAR,CHI,CAR,,,,,,QB
133104-22994,QB,Case,Case Keenum,Keenum,,0,6000,CHI@CAR,CHI,CAR,,,,,,QB
133104-53729,QB,Mason,Mason Rudolph,Rudolph,2.8466666539510093,6,6000,ATL@PIT,PIT,ATL,,,,,,QB
133104-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.9600000381469727,3,6000,NO@DET,DET,NO,IR,Undisclosed,,,,QB
133104-152044,QB,Kyron,Kyron Drones,Drones,,0,6000,GB@MIN,GB,MIN,,,,,,QB
133104-25079,WR,Stefon,Stefon Diggs,Diggs,9.847619192940849,21,6000,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
133104-134655,QB,Hunter,Hunter Dekkers,Dekkers,,0,6000,NO@DET,NO,DET,,,,,,QB
133104-89607,QB,Tanner,Tanner McKee,McKee,3.690000057220459,4,6000,WAS@PHI,PHI,WAS,,,,,,QB
133104-160265,QB,Mark,Mark Gronowski,Gronowski,,0,6000,MIA@LV,MIA,LV,,,,,,QB
133104-102933,QB,Kedon,Kedon Slovis,Slovis,-0.03999999910593033,2,6000,ARI@LAC,ARI,LAC,,,,,,QB
133104-89628,QB,Davis,Davis Mills,Mills,11.59999974568685,6,6000,BUF@HOU,HOU,BUF,,,,,,QB
133104-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@PHI,WAS,PHI,,,,,,QB
133104-6714,QB,Joe,Joe Flacco,Flacco,12.512307974008413,13,6000,TB@CIN,CIN,TB,,,,,,QB
133104-208467,QB,Cam,Cam Miller,Miller,,0,6000,MIA@LV,MIA,LV,,,,,,QB
133104-41562,QB,Nick,Nick Mullens,Mullens,-0.009999999776482582,4,6000,CLE@JAC,JAC,CLE,,,,,,QB
133104-208491,QB,Cole,Cole Payton,Payton,,0,6000,WAS@PHI,PHI,WAS,,,,,,QB
133104-135811,QB,Jalon,Jalon Daniels,Daniels,,0,6000,TB@CIN,TB,CIN,,,,,,QB
133104-187015,QB,Joey,Joey Aguilar,Aguilar,,0,6000,CLE@JAC,JAC,CLE,,,,,,QB
133104-184983,QB,Joe,Joe Fagnano,Fagnano,,0,6000,BAL@IND,BAL,IND,,,,,,QB
133104-29358,QB,Marcus,Marcus Mariota,Mariota,13.25,10,6000,WAS@PHI,WAS,PHI,,,,,,QB
133104-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,BAL@IND,BAL,IND,Q,Undisclosed,,,,QB
133104-70324,QB,Carson,Carson Wentz,Wentz,16.267999267578126,5,6000,GB@MIN,MIN,GB,,,,,,QB
133104-166588,TE,Colston,Colston Loveland,Loveland,9.411110772026909,18,6000,CHI@CAR,CHI,CAR,,,,,,TE/FLEX
133104-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,NYJ@TEN,NYJ,TEN,,,,,,QB
133104-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.78000020980835,4,6000,NYJ@TEN,TEN,NYJ,,,,,,QB
133104-92975,QB,Malik,Malik Cunningham,Cunningham,0.10000000149011612,1,6000,NO@DET,DET,NO,,,,,,QB
133104-120639,WR,Quentin,Quentin Johnston,Johnston,10.87142835344587,14,6000,ARI@LAC,LAC,ARI,,,,,,WR/FLEX
133104-154450,QB,Riley,Riley Leonard,Leonard,6.4,5,6000,BAL@IND,IND,BAL,,,,,,QB
133104-8023,QB,Josh,Josh Johnson,Johnson,8.793333053588867,3,6000,TB@CIN,CIN,TB,,,,,,QB
133104-119641,QB,Brady,Brady Cook,Cook,7.091999816894531,5,6000,NYJ@TEN,NYJ,TEN,,,,,,QB
133104-53095,QB,Kyle,Kyle Allen,Allen,-0.15000000596046448,2,6000,BUF@HOU,BUF,HOU,,,,,,QB
133104-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,CLE@JAC,JAC,CLE,,,,,,QB
133104-92020,QB,Kenny,Kenny Pickett,Pickett,1.6200000445048015,6,6000,CHI@CAR,CAR,CHI,,,,,,QB
133104-119670,QB,Carson,Carson Beck,Beck,,0,6000,ARI@LAC,ARI,LAC,,,,,,QB
133104-14225,QB,Andy,Andy Dalton,Dalton,2.630000114440918,4,6000,WAS@PHI,PHI,WAS,,,,,,QB
133104-128944,QB,Haynes,Haynes King,King,,0,6000,CHI@CAR,CAR,CHI,Q,Hamstring,,,,QB
133104-111557,QB,Spencer,Spencer Rattler,Rattler,11.515555487738716,9,6000,NO@DET,NO,DET,,,,,,QB
133104-200653,QB,Max,Max Brosmer,Brosmer,1.1742857524326868,7,6000,GB@MIN,MIN,GB,,,,,,QB
133104-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,NYJ@TEN,TEN,NYJ,,,,,,QB
133104-166892,QB,Drew,Drew Allar,Allar,,0,6000,ATL@PIT,PIT,ATL,,,,,,QB
133104-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,ARI@LAC,LAC,ARI,,,,,,QB
133104-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,8.941666920979818,12,5900,ARI@LAC,ARI,LAC,,,,,,WR/FLEX
133104-61593,WR,Jauan,Jauan Jennings,Jennings,9.368234970990349,17,5900,GB@MIN,MIN,GB,,,,,,WR/FLEX
133104-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.823529411764706,17,5900,ARI@LAC,ARI,LAC,,,,,,RB/FLEX
133104-86518,WR,Khalil,Khalil Shakir,Shakir,8.811111450195312,18,5900,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
133104-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,8.72499974568685,12,5900,GB@MIN,MIN,GB,,,,,,RB/FLEX
133104-64555,WR,Calvin,Calvin Ridley,Ridley,5.971428462437221,7,5800,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133104-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.235294117647058,17,5800,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133104-105646,TE,Sam,Sam LaPorta,LaPorta,9.655555725097656,9,5800,NO@DET,DET,NO,,,,,,TE/FLEX
133104-110974,WR,Malik,Malik Washington,Washington,5.5117645263671875,17,5800,MIA@LV,MIA,LV,,,,,,WR/FLEX
133104-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.081250190734863,16,5800,CHI@CAR,CAR,CHI,,,,,,RB/FLEX
133104-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,9.72941140567555,17,5800,ATL@PIT,PIT,ATL,Q,Leg,,,,WR/FLEX
133104-188171,RB,Jeremiyah,Jeremiyah Love,Love,,0,5800,ARI@LAC,ARI,LAC,,,,,,RB/FLEX
133104-158968,RB,Jonathon,Jonathon Brooks,Brooks,2,3,5700,CHI@CAR,CAR,CHI,,,,,,RB/FLEX
133104-129291,WR,Tank,Tank Dell,Dell,8.392857142857142,14,5700,BUF@HOU,HOU,BUF,Q,Knee - acl + mcl,,,,WR/FLEX
133104-89455,WR,Jayden,Jayden Reed,Reed,8.783333460489908,6,5700,GB@MIN,GB,MIN,,,,,,WR/FLEX
133104-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,8.341176650103401,17,5700,WAS@PHI,WAS,PHI,,,,,,RB/FLEX
133104-90561,WR,Jerry,Jerry Jeudy,Jeudy,5.6294115851907165,17,5700,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133104-172675,WR,Jordyn,Jordyn Tyson,Tyson,,0,5700,NO@DET,NO,DET,,,,,,WR/FLEX
133104-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,9.587499618530273,16,5700,CLE@JAC,CLE,JAC,,,,,,TE/FLEX
133104-166916,WR,Matthew,Matthew Golden,Golden,4.793333435058594,15,5600,GB@MIN,GB,MIN,,,,,,WR/FLEX
133104-103619,WR,Tre,Tre Tucker,Tucker,8.011764526367188,17,5600,MIA@LV,LV,MIA,,,,,,WR/FLEX
133104-129305,WR,Josh,Josh Downs,Downs,6.712500095367432,16,5600,BAL@IND,IND,BAL,Q,Groin,,,,WR/FLEX
133104-137530,TE,Tyler,Tyler Warren,Warren,8.852941176470589,17,5600,BAL@IND,IND,BAL,,,,,,TE/FLEX
133104-183756,WR,Carnell,Carnell Tate,Tate,,0,5600,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133104-137902,RB,Rachaad,Rachaad White,White,7.235294117647059,17,5600,WAS@PHI,WAS,PHI,,,,,,RB/FLEX
133104-144102,RB,Kyle,Kyle Monangai,Monangai,8.331579107987253,19,5600,CHI@CAR,CHI,CAR,,,,,,RB/FLEX
133104-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,9.988235473632812,17,5500,ATL@PIT,ATL,PIT,,,,,,TE/FLEX
133104-183380,WR,Makai,Makai Lemon,Lemon,,0,5500,WAS@PHI,PHI,WAS,Q,Hamstring,,,,WR/FLEX
133104-42104,RB,Alvin,Alvin Kamara,Kamara,7.654545177112926,11,5500,NO@DET,NO,DET,,,,,,RB/FLEX
133104-110259,WR,Treylon,Treylon Burks,Burks,3,8,5500,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
